date,flow
2016/10/8 0:00,21354
2016/10/8 0:15,7095
2016/10/8 0:30,15988
2016/10/8 0:45,14227
2016/10/8 1:00,12300
2016/10/8 1:15,9807
2016/10/8 1:30,7891
2016/10/8 1:45,7406
2016/10/8 2:00,5673
2016/10/8 2:15,5814
2016/10/8 2:30,5246
2016/10/8 2:45,4915
2016/10/8 3:00,5103
2016/10/8 3:15,4569
2016/10/8 3:30,3979
2016/10/8 3:45,3435
2016/10/8 4:00,3097
2016/10/8 4:15,3396
2016/10/8 4:30,3504
2016/10/8 4:45,3276
2016/10/8 5:00,2966
2016/10/8 5:15,3278
2016/10/8 5:30,4124
2016/10/8 5:45,4585
2016/10/8 6:00,4843
2016/10/8 6:15,5022
2016/10/8 6:30,6319
2016/10/8 6:45,8635
2016/10/8 7:00,11287
2016/10/8 7:15,13511
2016/10/8 7:30,16558
2016/10/8 7:45,18988
2016/10/8 8:00,22155
2016/10/8 8:15,24102
2016/10/8 8:30,29515
2016/10/8 8:45,36300
2016/10/8 9:00,39447
2016/10/8 9:15,37546
2016/10/8 9:30,35916
2016/10/8 9:45,35560
2016/10/8 10:00,36082
2016/10/8 10:15,34163
2016/10/8 10:30,34099
2016/10/8 10:45,34035
2016/10/8 11:00,35385
2016/10/8 11:15,35786
2016/10/8 11:30,36677
2016/10/8 11:45,37348
2016/10/8 12:00,35727
2016/10/8 12:15,36245
2016/10/8 12:30,35051
2016/10/8 12:45,33485
2016/10/8 13:00,32906
2016/10/8 13:15,33764
2016/10/8 13:30,36841
2016/10/8 13:45,37503
2016/10/8 14:00,37915
2016/10/8 14:15,39585
2016/10/8 14:30,42375
2016/10/8 14:45,43310
2016/10/8 15:00,43331
2016/10/8 15:15,43779
2016/10/8 15:30,44223
2016/10/8 15:45,48096
2016/10/8 16:00,47637
2016/10/8 16:15,47753
2016/10/8 16:30,46235
2016/10/8 16:45,43913
2016/10/8 17:00,42985
2016/10/8 17:15,40839
2016/10/8 17:30,41293
2016/10/8 17:45,41401
2016/10/8 18:00,42782
2016/10/8 18:15,42061
2016/10/8 18:30,42587
2016/10/8 18:45,44691
2016/10/8 19:00,48051
2016/10/8 19:15,48218
2016/10/8 19:30,52391
2016/10/8 19:45,52818
2016/10/8 20:00,48334
2016/10/8 20:15,42247
2016/10/8 20:30,37860
2016/10/8 20:45,37410
2016/10/8 21:00,38738
2016/10/8 21:15,38542
2016/10/8 21:30,42033
2016/10/8 21:45,45478
2016/10/8 22:00,42303
2016/10/8 22:15,39419
2016/10/8 22:30,38971
2016/10/8 22:45,35076
2016/10/8 23:00,32525
2016/10/8 23:15,25925
2016/10/8 23:30,23360
2016/10/8 23:45,22624
2016/10/9 0:00,18217
2016/10/9 0:15,6321
